NS,Depth,W,RWD,Density,Displacement_Step,Settlement,UCS,Stress
20,10,20,0,1.3333,15,1.1907475,48.81462792,17.98403732
20,10,20,1,1.325,15,1.117486414,67.63472543,21.15368551
20,10,20,2,1.31666,15,1.131909448,76.75071016,21.10762195
20,10,20,3,1.308333,15,1.16498551,84.10231076,21.27399575
20,10,20,4,1.3,15,1.054080139,93.21829549,20.43127943
20,10,25,0,1.28,15,1.1907475,34.69955479,17.71906025
20,10,25,1,1.272,15,1.117486414,41.16896331,21.24822304
20,10,25,2,1.264,15,1.131909448,45.57992366,21.19337048
20,10,25,3,1.256,15,1.16498551,48.5205639,21.40922204
20,10,25,4,1.248,15,1.054080139,57.34248461,20.56650572
20,10,30,0,1.230769,15,1.297462778,29.11233834,15.95633981
20,10,30,1,1.2230769,15,1.124657525,27.05389017,18.95427428
20,10,30,2,1.21538,15,1.138388893,29.99453041,19.6299326
20,10,30,3,1.20769,15,1.181700982,39.99270721,19.90989763
20,10,30,4,1.2,15,1.072419296,42.63928342,19.0267836
20,10,35,0,1.185185,15,2.06100898,19.40822556,12.0247103
20,10,35,1,1.177777,15,1.128817623,13.52694509,18.17037739
20,10,35,2,1.17037037,15,1.186667968,19.40822556,18.88465899
20,10,35,3,1.16296296,15,1.312924548,20.58448165,19.16195539
20,10,35,4,1.1555555,15,1.095354561,27.05389017,18.28554445
40,10,20,0,1.3333,15,1.133193678,48.81462792,29.19555709
40,10,20,1,1.325,15,1.115394232,67.63472543,39.79811554
40,10,20,2,1.31666,15,1.132881948,76.75071016,36.20840978
40,10,20,3,1.308333,15,1.16477551,84.10231076,35.50945262
40,10,20,4,1.3,15,1.054080139,93.21829549,34.63884134
40,10,25,0,1.28,15,1.140497845,34.69955479,28.93058002
40,10,25,1,1.272,15,1.115394232,41.16896331,39.89265306
40,10,25,2,1.264,15,1.132881948,45.57992366,36.2941583
40,10,25,3,1.256,15,1.16477551,48.5205639,35.64467891
40,10,25,4,1.248,15,1.054080139,57.34248461,34.77406762
40,10,30,0,1.230769,15,1.279050222,29.11233834,23.33817846
40,10,30,1,1.2230769,15,1.12702528,27.05389017,37.71524081
40,10,30,2,1.21538,15,1.142639385,29.99453041,34.71664515
40,10,30,3,1.20769,15,1.181490982,39.99270721,34.13127923
40,10,30,4,1.2,15,1.072419296,42.63928342,33.15357977
40,10,35,0,1.185185,15,2.592977763,19.40822556,21.76084326
40,10,35,1,1.177777,15,1.13454371,13.52694509,37.69339708
40,10,35,2,1.17037037,15,1.194276794,19.40822556,34.8740403
40,10,35,3,1.16296296,15,1.316072881,20.58448165,34.28600575
40,10,35,4,1.1555555,15,1.098712894,27.05389017,33.31500938
80,10,20,0,1.3333,15,5.457766084,48.81462792,40.24678345
80,10,20,1,1.325,15,1.5347,67.63472543,49.96145098
80,10,20,2,1.31666,15,1.525966667,76.75071016,55.36348701
80,10,20,3,1.308333,15,1.34255,84.10231076,55.27094534
80,10,20,4,1.3,15,1.3603125,93.21829549,56.16372909
80,10,25,0,1.28,15,5.457766084,34.69955479,39.98180637
80,10,25,1,1.272,15,1.5347,41.16896331,50.05598851
80,10,25,2,1.264,15,1.525966667,45.57992366,55.44923554
80,10,25,3,1.256,15,1.34255,48.5205639,55.40617163
80,10,25,4,1.248,15,1.3603125,57.34248461,56.29895538
80,10,30,0,1.230769,15,5.457766084,29.11233834,39.65507001
80,10,30,1,1.2230769,15,1.5347,27.05389017,49.46667841
80,10,30,2,1.21538,15,1.525966667,29.99453041,54.9193958
80,10,30,3,1.20769,15,1.34255,39.99270721,54.91211418
80,10,30,4,1.2,15,1.3603125,42.63928342,56.12736593
80,10,35,0,1.185185,15,5.631252238,19.40822556,38.4021657
80,10,35,1,1.177777,15,1.61609381,13.52694509,44.70184419
80,10,35,2,1.17037037,15,1.616510476,19.40822556,50.10050842
80,10,35,3,1.16296296,15,1.619077143,20.58448165,50.09055817
80,10,35,4,1.1555555,15,1.616070952,27.05389017,51.65697969
