NS,Depth,W,RWD,Density,Displacement_Step,Predicted_Shear_Stress_kPa
20,10,20,0,1.6,15,17.984037323517256
20,10,20,1,1.6,15,21.153685512118663
20,10,20,2,1.6,15,21.107621951183226
20,10,20,3,1.6,15,21.27399574796757
20,10,20,4,1.6,15,20.43127943377696
20,10,25,0,1.6,15,17.71906024517005
20,10,25,1,1.6,15,21.24822304003026
20,10,25,2,1.6,15,21.19337047773985
20,10,25,3,1.6,15,21.409222036169357
20,10,25,4,1.6,15,20.566505721978746
20,10,30,0,1.6,15,15.956339812936877
20,10,30,1,1.6,15,18.95427427988488
20,10,30,2,1.6,15,19.629932598316717
20,10,30,3,1.6,15,19.909897629898396
20,10,30,4,1.6,15,19.02678360265286
20,10,35,0,1.6,15,12.02471029896421
20,10,35,1,1.6,15,18.170377391504655
20,10,35,2,1.6,15,18.884658985864032
20,10,35,3,1.6,15,19.16195538708793
20,10,35,4,1.6,15,18.28554444927703
40,10,20,0,1.6,15,29.195557094927658
40,10,20,1,1.6,15,39.79811553526363
40,10,20,2,1.6,15,36.20840977724047
40,10,20,3,1.6,15,35.509452623715745
40,10,20,4,1.6,15,34.63884133548684
40,10,25,0,1.6,15,28.93058001658045
40,10,25,1,1.6,15,39.89265306317523
40,10,25,2,1.6,15,36.2941583037971
40,10,25,3,1.6,15,35.64467891191753
40,10,25,4,1.6,15,34.77406762368862
40,10,30,0,1.6,15,23.338178462452472
40,10,30,1,1.6,15,37.715240805864056
40,10,30,2,1.6,15,34.71664514566367
40,10,30,3,1.6,15,34.13127922693626
40,10,30,4,1.6,15,33.153579773190636
40,10,35,0,1.6,15,21.76084325569425
40,10,35,1,1.6,15,37.693397084910316
40,10,35,2,1.6,15,34.87404029814981
40,10,35,3,1.6,15,34.286005749064614
40,10,35,4,1.6,15,33.31500938475363
80,10,20,0,1.6,15,40.246783452923346
80,10,20,1,1.6,15,49.96145098479815
80,10,20,2,1.6,15,55.36348701234129
80,10,20,3,1.6,15,55.27094533873883
80,10,20,4,1.6,15,56.16372909324487
80,10,25,0,1.6,15,39.981806374576145
80,10,25,1,1.6,15,50.055988512709746
80,10,25,2,1.6,15,55.449235538897916
80,10,25,3,1.6,15,55.40617162694061
80,10,25,4,1.6,15,56.29895538144665
80,10,30,0,1.6,15,39.65507001338709
80,10,30,1,1.6,15,49.46667841105491
80,10,30,2,1.6,15,54.9193958036584
80,10,30,3,1.6,15,54.91211417888838
80,10,30,4,1.6,15,56.12736592514196
80,10,35,0,1.6,15,38.40216569597966
80,10,35,1,1.6,15,44.70184418570587
80,10,35,2,1.6,15,50.10050842324205
80,10,35,3,1.6,15,50.09055816811425
80,10,35,4,1.6,15,51.65697968764191
